49.26295,-123.089
49.26662,-123.129
49.28023,-123.091
49.28131,-123.057
49.28131,-123.057
49.2669,-123.074
49.27581,-123.082
49.28131,-123.057
49.26876,-123.137
49.27318,-123.128
49.26038,-123.059
49.27153,-123.066
49.27318,-123.128
49.2501,-123.153
49.24136,-123.149
49.26714,-123.155
49.26547,-123.2
49.25937,-123.151
49.24995,-123.156
49.28131,-123.057
49.28705,-123.125
49.27522,-123.203
49.21824,-123.089
49.26547,-123.2
49.26583,-123.129
49.27358,-123.093
49.28131,-123.057
49.26256,-123.101
49.28691,-123.135
49.28287,-123.107
49.26958,-123.045
49.26504,-123.065
49.28131,-123.057
49.25914,-123.107
49.26798,-123.155
49.26301,-123.143
49.26746,-123.109
49.25759,-123.125
49.25977,-123.135
49.24973,-123.12
49.25759,-123.125
49.28333,-123.123
49.28402,-123.096
49.22489,-123.111
49.27358,-123.093
49.28803,-123.12
49.26547,-123.2
49.249,-123.128
49.23842,-123.089
49.23201,-123.029
49.24356,-123.092
49.249,-123.128
49.26456,-123.098
49.26751,-123.155
49.25977,-123.135
49.26295,-123.044
49.26658,-123.11
49.28131,-123.057
49.25977,-123.135
49.28131,-123.057
49.20939,-123.105
49.288,-123.138
49.26882,-123.084
49.28803,-123.12
49.28131,-123.057
49.27254,-123.152
49.28207,-123.054
49.2192,-123.095
49.28131,-123.057
49.25796,-123.181
49.26882,-123.084
49.28022,-123.125
49.28131,-123.057
49.24157,-123.068
49.28914,-123.122
49.20621,-123.136
49.24157,-123.068
49.26301,-123.143
49.28136,-123.12
49.26894,-123.046
49.23201,-123.029
49.26481,-123.112
49.25306,-123.092
49.20572,-123.135
49.26456,-123.098
49.28131,-123.057
49.28131,-123.057
49.25977,-123.135
49.24732,-123.132
49.27254,-123.152
49.28454,-123.117
49.2675,-123.113
49.27137,-123.178
49.27229,-123.045
49.28131,-123.057
49.27623,-123.071
49.23201,-123.029
49.20539,-123.142
49.22145,-123.144
49.22736,-123.167
49.28131,-123.057
49.22489,-123.111
49.28766,-123.142
49.28794,-123.141
49.21187,-123.11
49.28131,-123.057
49.2675,-123.113
49.28009,-123.114
49.25974,-123.095
49.28023,-123.091
49.28131,-123.057
49.2794,-123.072
49.23763,-123.027
49.27184,-123.079
49.27991,-123.089
49.28026,-123.074
49.2675,-123.113
49.26658,-123.11
49.26218,-123.101
49.2618,-123.103
49.26485,-123.18
49.26517,-123.2
49.27823,-123.102
49.28914,-123.122
49.27754,-123.092
49.28594,-123.135
49.28131,-123.057
49.26319,-123.122
49.28131,-123.057
49.28131,-123.057
49.28739,-123.133
49.21187,-123.11
49.23434,-123.14
49.2706,-123.058
49.20539,-123.142
49.25603,-123.116
49.28914,-123.122
49.26295,-123.044
49.27399,-123.114
49.21468,-123.083
49.25899,-123.142
49.28235,-123.136
49.28131,-123.057
49.28803,-123.12
49.28691,-123.135
49.20736,-123.119
49.24111,-123.045
49.25316,-123.038
49.26532,-123.096
49.26658,-123.11
49.27022,-123.212
49.26298,-123.072
49.26495,-123.129
49.28026,-123.114
49.28252,-123.057
52.82901,-119.277
49.28739,-123.133453
49.28131,-123.057129
49.25899,-123.142454
49.28009,-123.11445
49.28023,-123.09108
49.27414,-123.050341
49.23754,-123.068097
49.27485,-123.127657
49.27046,-123.145534
49.27361,-123.120638
49.27045,-123.148171
49.2706,-123.141457
49.28292,-123.122811
49.28739,-123.133
49.28131,-123.057
49.25899,-123.142
49.28009,-123.114
49.28023,-123.091
49.27414,-123.05
49.23754,-123.068
49.27485,-123.128
49.27046,-123.146
49.27361,-123.121
49.27045,-123.148
49.2706,-123.141
49.28292,-123.123
49.26547,-123.2
49.2675,-123.113
49.20621,-123.136
49.25603,-123.116
49.24132,-123.043
49.26257,-123.135
49.26485,-123.18
49.27414,-123.123
49.2664,-123.101
49.24785,-123.186
49.27432,-123.046
49.24892,-123.185
49.26495,-123.129
49.28009,-123.114
49.21237,-123.119
49.26658,-123.11
49.26257,-123.135
49.26578,-123.115
49.2345,-123.067
49.28287,-123.107
49.26547,-123.2
49.2593,-123.094
49.23201,-123.029
49.22903,-123.142
49.24784,-123.11
49.27874,-123.112
49.28235,-123.136
49.28042,-123.132
49.25796,-123.181
49.27177,-123.087
49.25002,-123.11
49.2667,-123.171
49.28042,-123.132
49.27485,-123.128
49.28691,-123.135
49.28115,-123.12
49.26257,-123.135
49.28131,-123.057
49.28235,-123.136
49.28022,-123.125
49.28131,-123.057
49.28013,-123.121
49.26693,-123.146
49.25937,-123.151
49.27022,-123.212
49.26481,-123.112
49.25899,-123.142
49.27447,-123.149
49.28235,-123.136
49.28131,-123.057
49.26301,-123.115
49.27687,-123.068
49.26367,-123.143
49.27892,-123.12
49.26257,-123.135
49.25764,-123.132
49.24356,-123.092
49.20779,-123.093
49.28287,-123.107
49.26197,-123.131
49.28131,-123.057
49.25937,-123.151
49.26481,-123.112
49.26225,-123.132
49.21237,-123.119
49.28591,-123.129
49.27892,-123.12
49.28594,-123.135
49.26547,-123.2
49.20727,-123.039
52.39153,-126.548
49.28691,-123.135
49.28131,-123.057
49.28124,-123.075
49.27414,-123.123
49.2706,-123.141
49.28131,-123.057
49.28131,-123.057
49.23434,-123.14
49.28124,-123.075
49.28889,-123.143
49.26257,-123.135
49.26257,-123.135
49.29191,-123.131
